id,titre,phrase,motifs_phrase
1,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"COMTE DE VILLIERS DE L' ISLE-ADAML' ÈVE FUTURETAU LECTEURIl me paraît de toute convenance de prévenir une confusion possible relativement à le principal héros de ce livre.Chacun sait aujourd'hui qu' un très illustre inventeur américain , M. Edison , a découvert , depuis une quinzaine d' années , une quantité de choses aussi étranges qu' ingénieuses ; - entre autres le Téléphone , le Phonographe , le Microphone - et ces admirables lampes électriques répandues sur la surface de le globe ; - sans parler d' une centaine d' autres merveilles.En Amérique et en Europe une LÉGENDE s' est donc éveillée , dans l' imagination de la foule , autour de ce grand citoyen de les États-Unis .","NP NP NP de le NP NP NP NP me paraître de tout NC de INF un NCo ADJ ADVINT à le ADJ NCs de ce livre.Chacun VCOG ADVT que un très ADJ NCs ADJ , monsieur NP , avoir VCOG , depuis NUM NC de NCT , un NC de chose aussi ADJ que ADJ ; - entre autre le NP , le NP , le NP - et ce ADJ NC ADJ PPAS sur le NC de le NCmod ; - sans INF de un NCs de autre NP NP et en NP un NP se être donc PPAS , dans le NC de le NCmod , ADV de ce ADJ NC de le NP ."
2,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"C' est à qui le désignera sous de fantastiques surnoms - tels que le « MAGICIEN DE LE SIÈCLE , le SORCIER DE MENLO PARK , le PAPA DE LE PHONOGRAPHE » , etc. , etc. L' enthousiasme- de les plus naturels - en son pays et ailleurs , lui a conféré une sorte d' apanage mystérieux , ou tout comme , en maints esprits .","ce être à qui le VF sous un NC NC - tel que le "" NP NP NP NCT , le NP NP NP NP , le NP NP NP NP "" , etc. , etc. le enthousiasme- de le plus ADJ - en DETPOSS NCmod et ADVLIEU , lui avoir PPAS un sorte de NCmod ADJ , ou tout comme , en NUM NC ."
3,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"Dès lors , le PERSONNAGE de cette légende , - même de le vivant de l' homme qui a su l' inspirer , - n' appartient -il pas à la littérature humaine ?","dès lors , le NP de ce NCmod , - même de le NC de le NCmod qui avoir VCOG le INF , - ne PRES il pas à le NC ADJ ?"
4,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"- En d' autres termes , si le docteur Johannes Faust , se trouvant contemporain de Wolfgang Goethe , eût donné lieu à sa symbolique légende , le « Faust » n' eût -il pas été , quand même , licite ?","- en un autre NC , si le NCs NP NP , se PPRES ADJ de NP NP , avoir PPAS NCo à DETPOSS ADJ NCs , le "" NP "" ne avoir il pas être , quand même , ADJ ?"
5,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"- Donc , l' EDISON de le présent ouvrage , son caractère , son habitation , son langage et ses théories sont - et devaient être - à le moins passablement distincts de la réalité .","- donc , le NP de le ADJ NCmod , DETPOSS NC , DETPOSS NC , DETPOSS NC et DETPOSS NCs être - et devoir être - à le moins ADVINT NC de le NCmod ."
6,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"Il est , ainsi , bien établi que j' interprète une légende moderne à le mieux de l' oeuvre d' Art-métaphysique dont j' ai conçu l' idée , qu' en un mot le héros de ce livre est , avant tout , le « Sorcier de Menlo Park , » etc. , - et non M. l' ingénieur Edison , notre contemporain.Je n' ai pas d' autre réserve à notifier.VILLIERS DE L' ISLE-ADAM.Aux rêveurs , À les railleurs L' ÈVE FUTURELIVRE PREMIERM .","il être , ainsi , bien PPAS que je VSUBP un NCo ADJ à le mieux de le NCmod de NP dont je avoir VCOG le NCo , que en un NCs le NC de ce NCmod être , PHASE tout , le "" NP de NP NP , "" etc. , - et non monsieur le NCmod NP , DETPOSS contemporain.il ne avoir pas un autre NC à NP De le NP ADJ , à le NCmod le NP NP NP ."
7,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"EDISONIMenlo Park - « Le jardin était taillé comme une belle femme« Étendue et sommeillant voluptueusement« Et fermant les paupières à les cieux ouverts :« Les champs de l' azur de le ciel étaient rassemblés correctement«Dans un cercle orné de les fleurs de la lumière ;« Les iris et les rondes étincelles de rosée«Qui pendaient à leurs feuilles azurées , apparaissaient« Comme de les étoiles clignotantes qui pétillent dans le bleu de le soir .» GILES FLETCHERA vingt-cinq lieues de New York , à le centre d' un réseau de fils électriques , apparaît une habitation qu' entourent de profonds jardins solitaires .","NP NP - "" le NCs être PPAS comme un ADJ femme« NP et PPRES voluptueusement« et PPRES le NCCOR à le NCmod ADJ :« le NC de le NCspas de le NCmod être PPAS correctement«Dans un NC PPAS de le NCmod de le NCs ;« le NC et le NC ADJ de NP VIMP à DETPOSS NC ADJ , apparaissaient« comme de le NC ADJ qui PRES dans le ADJCOL de le NCT .» NP NP NUM NC de NP NP , à le NCmod de un NCmod de NCmod ADJ , PRES un NC que PRES de ADJ NCs ADJ ."
8,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,La façade regarde une riche pelouse traversée d' allées sablées qui conduit à une sorte de grand pavillon isolé .,le NCs VCOG un ADJ ADJ NC de NCmod ADJ qui PRES à un sorte de ADJ NCmod PPAS .
9,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,"À le sud et à l' ouest , deux longues avenues de très vieux arbres projettent leurs ombrages supérieurs vers ce pavillon .","à le NC et à le NC , NUM ADJ NCs de très ADJ NCmod PRES DETPOSS NCo ADJ vers ce NC ."
10,1886_Villiers-de-l'Isle-Adam_L'Eve-future_A.txt,C' est le n° 1 de la cité de Menlo Park .,ce être le ° NUM de le NCmod de NP NP .
