id,titre,phrase,motifs_phrase
1,Flaubert/Bouvard et Pécuchet_clean.txt,"Comme il faisait une chaleur de trente-trois degrés , le boulevard Bourdon se trouvait absolument désert .","comme il faire un NCo de NUM NCmod , le NCs NP se VIMP ADVINT NC ."
2,Flaubert/Bouvard et Pécuchet_clean.txt,"Plus bas le canal Saint-Martin , fermé par les deux écluses étalait en ligne droite son eau couleur d' encre .","plus ADJ le NC NP , PPAS par le NUM NC VIMP en NC ADJ DETPOSS NCo NC de NCmod ."
3,Flaubert/Bouvard et Pécuchet_clean.txt,"Il y avait à le milieu , un bateau plein de bois , et sur la berge deux rangs de barriques .","il y avoir à le milieu , un NCo ADJ de NCmod , et sur le NC NUM NC de NCmod ."
4,Flaubert/Bouvard et Pécuchet_clean.txt,"À le delà de le canal , entre les maisons que séparent de les chantiers , le grand ciel pur se découpait en plaques d' outremer , et sous la réverbération de le soleil , les façades blanches , les toits d' ardoises , les quais de granit éblouissaient .","à le delà de le NC , entre le NCmod que PRES de le NC , le ADJ NCs ADJ se VIMP en NC de INF , et sous le NC de le NCmod , le NC ADJCOL , le NC de NCmod , le NCs de NCmod VIMP ."
5,Flaubert/Bouvard et Pécuchet_clean.txt,Une rumeur confuse montait de le loin dans l' atmosphère tiède ; et tout semblait engourdi par le désœuvrement de le dimanche et la tristesse de les jours d' été .,un NCs ADJ VIMP de le ADVLIEU dans le NC ADJ ; et tout sembler PPAS par le NC de le ADVT et le NCSENT de le NCT de NCmod .
6,Flaubert/Bouvard et Pécuchet_clean.txt,Deux hommes parurent .,NUM NCs VPS .
7,Flaubert/Bouvard et Pécuchet_clean.txt,"L' un venait de la Bastille , l' autre de le Jardin de les Plantes .","le un venir de le NP , le autre de le NCmod de le NP ."
8,Flaubert/Bouvard et Pécuchet_clean.txt,"Le plus grand , vêtu de toile , marchait le chapeau en arrière , le gilet déboutonné et sa cravate à la main .","le plus ADJ , PPAS de NC , VIMP le NCo en NCmod , le NC PPAS et DETPOSS NC à le NCCOR ."
9,Flaubert/Bouvard et Pécuchet_clean.txt,"Le plus petit , dont le corps disparaissait dans une redingote marron , baissait la tête sous une casquette à visière pointue .","le plus ADJ , dont le NCCOR VIMP dans un NC ADJCOL , VIMP le NCCOR sous un NC à NCmod ADJ ."
10,Flaubert/Bouvard et Pécuchet_clean.txt,"Quand ils furent arrivés à le milieu de le boulevard , ils s' assirent à la même minute , sur le même banc .","quand il être PPAS à le milieu de le NCmod , il se PRES à le même NCT , sur le même NC ."
11,Flaubert/Bouvard et Pécuchet_clean.txt,"Pour s' essuyer le front , ils retirèrent leurs coiffures , que chacun posa près de soi .","pour se INF le NCCOR , il VPS DETPOSS NCo , que chacun VPS ADVLIEU de soi ."
12,Flaubert/Bouvard et Pécuchet_clean.txt,Et le petit homme aperçut écrit dans le chapeau de son voisin : Bouvard ; pendant que celui-ci distinguait aisément dans la casquette de le particulier en redingote le mot: Pécuchet .,et le ADJ NC ADJ PPAS dans le NC de DETPOSS NCmod : NP ; PHASE que celui-ci VCOG ADV dans le NC de le NCmod en NC le mot: NP .
13,Flaubert/Bouvard et Pécuchet_clean.txt,Tiens !,tenir !
14,Flaubert/Bouvard et Pécuchet_clean.txt,"dit -il nous avons eu la même idée , celle d' inscrire notre nom dans nos couvre-chefs .","VDIC il nous avoir avoir le même NCo , celui de INF DETPOSS NCo dans DETPOSS NC ."
15,Flaubert/Bouvard et Pécuchet_clean.txt,"Mon Dieu , oui !","NP NP , oui !"
16,Flaubert/Bouvard et Pécuchet_clean.txt,on pourrait prendre le mien à mon bureau !,on pouvoir INF le NCo à DETPOSS NC !
17,Flaubert/Bouvard et Pécuchet_clean.txt,"C' est comme moi , je suis employé .","ce être comme soi , je être PPAS ."
18,Flaubert/Bouvard et Pécuchet_clean.txt,Alors ils se considérèrent .,alors il se PRES .
19,Flaubert/Bouvard et Pécuchet_clean.txt,L' aspect aimable de Bouvard charma de suite Pécuchet .,le NCs ADJ de NP VSENT de NC NP .
20,Flaubert/Bouvard et Pécuchet_clean.txt,"Ses yeux bleuâtres , toujours entreclos , souriaient dans son visage coloré .","DETPOSS NCCOR ADJCOL , ADVTEMPS PPAS , VIMP dans DETPOSS NCCOR ADJ ."
