id,titre,phrase,motifs_phrase
1,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,UNE INGÉNUE EN PUISSANCE D' UN NÉVROPATHE HISTOIRE D' AUJOURD' HUI Il n' y a plus qu' un Grand Turc en Europe : c' est le public .,NP NP NP NP NP NP NP NP NP NP NP il ne y avoir plus que un ADJ NP en NP : ce être le NC .
2,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,Il n' y a plus que le public qui ait un sérail .,il ne y avoir plus que le NC qui avoir un NC .
3,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"Le sérail de le public est un sérail idéal , je me hâte de le dire ; mais quel sérail , que ce sérail idéal !","le NCs de le NCmod être un NC ADJ , je me PRES de le VDIC ; mais quel NC , que ce NCmod ADJ !"
4,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"Toutes les femmes de Corneille , de Molière , de Racine , de Shakespeare , de Victor Hugo , d' Alfred de Musset , de M. Scribe et de M. Siraudin !","tout le NC de NP , de NP , de NP , de NP , de NP NP , de NP de NP , de monsieur NP et de monsieur NP !"
5,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"celles-ci qui viennent de la Circassie de la tragédie , celles -là arrachées toutes jeunes à le sein de la comédie ; de les femmes en prose et de les femmes en vers ; de les brunes , de les blondes , et tous les talents d' agrément qu' on peut désirer !","celui-ci qui venir de le NP de le NCmod , celui ADVLIEU PPAS tout NCo à le NC de le NCmod ; de le NCmod en NCmod et de le NC en NCmod ; de le NC , de le NC , et tout le NC de NCSENT que on pouvoir VSENT !"
6,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,Il y a de les danseuses de corde et de les saltatrices gaditanes !,il y avoir de le NC de NCmod et de le NC ADJ !
7,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"Il y a de les déclamatrices , il y a de les grandes coquettes !","il y avoir de le NC , il y avoir de le ADJ NC !"
8,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"Il y en a qui arrachent les larmes , sans douleur !","il y en avoir qui PRES le NCo , sans NCSENT !"
9,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,Et d' autres à qui M. Samson a appris le grand art de sourire naturellement !,et de autre à qui monsieur NP avoir VCOG le ADJ NCo de INF ADVINT !
10,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,Et d' autres qui pincent le couplet cascaret !,et de autre qui PRES le NCo ADJ !
11,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,"Et d' autres qui semblent ouvrir une cage quand elles ouvrent la bouche , et lâcher de les rossignols dans le lustre !","et de autre qui sembler INF un NCo quand il PRES le NCCOR , et INF de le NCmod dans le NCmod !"
12,Goncourt/une ingénue en puissance d'un névropathe_clean.txt,Il y a de les jolies femmes !,il y avoir de le ADJ NC !
