id,titre,phrase,motifs_phrase
1,Zola/1899_1_Fecondite._clean.txt,"Ce matin -là , dans le petit pavillon à la lisière de les bois , où ils étaient installés depuis trois semaines , Mathieu se hâtait , pour prendre à Janville le train de sept heures , qui chaque jour le ramenait à Paris .","ce NCT ADVLIEU , dans le ADJ NCmod à le NCmod de le NCmod , où il être PPAS depuis NUM NC , NP se VIMP , pour INF à NP le NCo de NUM NCT , qui chaque NCT le VIMP à NP ."
2,Zola/1899_1_Fecondite._clean.txt,"Il était six heures et demie déjà , et il y avait deux grands kilomètres de le pavillon à Janville .","il être NUM NCT et PRES déjà , et il y avoir NUM ADJ NCo de le NCmod à NP ."
3,Zola/1899_1_Fecondite._clean.txt,"Puis , après les trois quarts d' heure de le trajet , c' étaient trois autres quarts d' heure pour aller de la gare de le Nord à le boulevard de Grenelle ; de sorte qu' il n' arrivait guère à son bureau de l' usine que vers les huit heures et demie .","puis , PHASE le NUM NC de NCT de le NCmod , ce être NUM autre NC de NCT pour aller de le NC de le NCmod à le NCmod de NP ; de sorte que il ne VIMP guère à DETPOSS NC de le NCmod que vers le NUM NCT et NC ."
4,Zola/1899_1_Fecondite._clean.txt,"Il venait d' embrasser les enfants , heureusement endormis ; car ils ne le laissaient plus partir , leurs petits bras noués à son cou , riant et le baisant .","il venir de INF le NCo , heureusement PPAS ; car il ne le VIMP plus INF , DETPOSS ADJ NCCOR PPAS à DETPOSS NCCOR , PPRES et le NC ."
5,Zola/1899_1_Fecondite._clean.txt,"Et , comme il rentrait vivement dans la chambre à coucher , il trouva sa femme Marianne , à le lit encore , mais réveillée , à demi assise .","et , comme il VIMP ADVINT dans le NC à INF , il VPS DETPOSS NCo NP , à le NC encore , mais PPAS , à ADJ NC ."
6,Zola/1899_1_Fecondite._clean.txt,"Elle était allée tirer un rideau , toute la radieuse matinée de mai entrait , la baignant d' un flot de gai soleil , dans la beauté saine et fraîche de ses vingt-quatre ans .","il être aller INF un NCo , tout le ADJ NCs de MOIS VIMP , le PPRES de un NC de NCmod ADJ , dans le NC ADJ et ADJ de DETPOSS NUM NCT ."
7,Zola/1899_1_Fecondite._clean.txt,"Lui , son aîné de trois ans , l' adorait .","il , DETPOSS NC de NUM NCT , le NC ."
8,Zola/1899_1_Fecondite._clean.txt,"Tu sais , chérie , je me dépêche , j' ai peur de manquer le train ... Alors , tâche de t' arranger , tu as encore trente sous , n' est -ce pas ?","je VCOG , NC , je me PRES , je avoir NCSENT de INF le NCo ... alors , NC de lui INF , je avoir encore NUM NCo , ne être ce pas ?"
9,Zola/1899_1_Fecondite._clean.txt,"Elle se mit à rire , charmante avec ses bras nus et ses admirables cheveux bruns défaits .","il se mettre à INF , ADJ avec DETPOSS NCCOR ADJ et DETPOSS ADJ NCCOR ADJCOL ADJ ."
10,Zola/1899_1_Fecondite._clean.txt,"La continuelle gêne de leur jeune ménage la laissait vaillante et joyeuse , elle mariée à dix-sept ans , lui à vingt , chargés de quatre enfants déjà .","le ADJ NCs de lui ADJ NCmod le laisser ADJ et ADJ , il PPAS à NUM NCT , lui à NUM , PPAS de NUM NC déjà ."
11,Zola/1899_1_Fecondite._clean.txt,"Puisque c' est la fin de le mois aujourd'hui et que tu touches ce soir ... Je paierai demain les petites dettes , à Janville .","puisque ce être le NC de le NCT ADVT et que je NCmod ce NCT ... je VCOND ADVT le ADJ NCo , à NP ."
12,Zola/1899_1_Fecondite._clean.txt,"Il n' y a que les Lepailleur , pour le lait et les œufs , qui m' ennuient , car ils ont toujours l' air de croire qu' on veut les voler ... Trente sous , mon chéri !","il ne y avoir que le NP , pour le NCmod et le NC , qui le PRES , car il avoir ADVTEMPS le NCMAN de VCOG que on vouloir le INF ... NUM NC , DETPOSS NC !"
13,Zola/1899_1_Fecondite._clean.txt,mais nous allons faire la fête !,mais nous aller faire le NCo !
14,Zola/1899_1_Fecondite._clean.txt,"Elle riait toujours , elle lui tendait ses bras fermes et blancs , pour l' à le revoir de chaque matin .","il VIMP ADVTEMPS , il lui VIMP DETPOSS NCCOR ADJ et ADJCOL , pour le à le VCOG de chaque NCT ."
15,Zola/1899_1_Fecondite._clean.txt,"Pars vite , puisque tu es pressé ... J' irai ce soir t' attendre à le petit pont .","NC ADV , puisque je être PPAS ... je VF ce NCT le INF à le ADJ NC ."
16,Zola/1899_1_Fecondite._clean.txt,"Non , non , je veux que tu te couches !","non , non , je vouloir que je me NC !"
17,Zola/1899_1_Fecondite._clean.txt,"Tu sais bien qu' aujourd'hui , encore si je ne manque pas le train de onze heures moins un quart , je ne serai à Janville qu' à onze heures et demie ... Oh !","je PRES bien que ADVT , encore si je ne PRES pas le NCo de NUM NCT moins un NCo , je ne VCOND à NP que à NUM NCT et NC ... INTJ !"
18,Zola/1899_1_Fecondite._clean.txt,quelle journée !,quel NCT !
19,Zola/1899_1_Fecondite._clean.txt,"J' ai dû promettre à les Morange de déjeuner chez eux , et ce soir Beauchêne traite un client , un dîner d' affaires , à lequel il faut que j' assiste ... Couche -toi et fais un beau dodo , en m' attendant .","je avoir devoir INF à le NP de INF chez eux , et ce NCT NP PRES un NCo , un NC de NCmod , à lequel il PRES que je VSUBP ... NP soi et faire un ADJ NCo , en se PPRES ."
20,Zola/1899_1_Fecondite._clean.txt,"Elle hocha gentiment la tête , ne s' engageant à rien .","il VPS ADVMAN le NCCOR , ne se PPRES à rien ."
21,Zola/1899_1_Fecondite._clean.txt,"Et n' oublie pas , reprit -elle , de passer chez le propriétaire lui dire qu' il pleut dans la chambre de les enfants .","et ne VCOG pas , PRES il , de INF chez le NC lui VDIC que il PRES dans le NC de le NCmod ."
22,Zola/1899_1_Fecondite._clean.txt,"Ce Séguin de le Hordel , riche à millions , a beau ne nous louer cette masure que six cents francs , ce n' est pas une raison pour que nous devions nous y laisser tremper comme sur la grand-route .","ce NCs de le NP , ADJ à NC , avoir ADJ ne nous INF ce NC que NUM NUM NCmod , ce ne être pas un NC pour que nous devoir nous y laisser INF comme sur le NC ."
23,Zola/1899_1_Fecondite._clean.txt,Tiens !,tenir !
24,Zola/1899_1_Fecondite._clean.txt,"j' aurais oublié ... Je passerai chez lui , je te le promets .","je avoir VCOG ... je VF chez lui , je me le NC ."
25,Zola/1899_1_Fecondite._clean.txt,"Mais , à son tour , il l' avait prise dans ses bras , et l' à le revoir se prolongeait , il ne s' en allait plus .","mais , à DETPOSS NC , il le avoir PPAS dans DETPOSS NCCOR , et le à le VCOG se VIMP , il ne se en aller plus ."
26,Zola/1899_1_Fecondite._clean.txt,"Elle s' était remise à rire , elle lui rendait de gros baisers sonores .","il se être PPAS à INF , il lui VIMP un ADJ NCo ADJ ."
27,Zola/1899_1_Fecondite._clean.txt,"Entre eux , c' était tout un amour de belle santé , la joie de l' union totale et profonde , de n' être qu' une chair et qu' une âme .","entre eux , ce être tout un NCSENT de ADJ NCmod , le NCSENT de le NCmod ADJ et ADJ , de ne être que un NCCOR et que un NC ."
28,Zola/1899_1_Fecondite._clean.txt,"Va -t ' en donc , va -t ' en donc , chéri ... Ah !","NP t ' en donc , aller t ' en donc , NC ... INTJ !"
29,Zola/1899_1_Fecondite._clean.txt,"souviens -toi de dire à Constance qu' avant de partir pour la campagne , elle devrait venir passer un dimanche , avec Maurice .","PRES -toi de VDIC à NP que PHASE de INF pour le NC , il devoir venir INF un ADVT , avec NP ."
30,Zola/1899_1_Fecondite._clean.txt,"Oui , oui , je le lui dirai ... À ce soir , chérie .","oui , oui , je le lui VF ... à ce NCT , NC ."
31,Zola/1899_1_Fecondite._clean.txt,"Il revint , la reprit d' une étreinte forte , lui posa un long baiser sur les lèvres , qu' elle lui rendit de tout son cœur .","il VPS , le VPS de un NC fort , lui VPS un ADJ NCo sur le NCCOR , que il lui VPS de tout DETPOSS NC ."
32,Zola/1899_1_Fecondite._clean.txt,Et il se sauva .,et il se PRES .
33,Zola/1899_1_Fecondite._clean.txt,"D' ordinaire , en arrivant à la gare de le Nord , il prenait l' omnibus .","de NC , en PPRES à le NC de le NCmod , il VIMP le NCo ."
34,Zola/1899_1_Fecondite._clean.txt,"Mais , les jours où il n' y avait que trente sous à la maison , il faisait gaillardement le chemin à pied .","mais , le NCT où il ne y avoir que NUM NCo à le NC , il faire ADVMAN le NCo à NCCOR ."
35,Zola/1899_1_Fecondite._clean.txt,"C' était , d' ailleurs , un très beau chemin : la rue La Fayette , l' Opéra , les Grands Boulevards , la rue Royale puis , après la place de la Concorde , le Cours-la-Reine , le pont de l' Alma et le quai d' Orsay .","ce être , de ADVLIEU , un très ADJ NC : le NC La NP , le NP , le NP NP , le NC ADJ puis , PHASE le NCmod de le NP , le NP , le NC de le NP et le NC de NP ."
36,Zola/1899_1_Fecondite._clean.txt,"L' usine Beauchêne s' étendait tout à le bout de le quai d' Orsay , entre la rue de la Fédération et le boulevard de Grenelle .","le NCs NP se VIMP tout à le NC de le NCmod de NP , entre le NC de le NCmod et le NC de NP ."
37,Zola/1899_1_Fecondite._clean.txt,"Il y avait là un vaste terrain en équerre , dont une de les pointes , sur le quai se trouvait occupée par une belle maison d' habitation , un hôtel de briques encadrées de pierre blanche , que Léon Beauchêne , le père d' Alexandre , le patron actuel , avait bâti .","il y avoir ADVLIEU un ADJ NCo en NCmod , dont un de le NCmod , sur le NCmod se VIMP PPAS par un ADJ NC de NCmod , un NC de ADJCOL PPAS de NC ADJCOL , que NP NP , le NC de NP , le NC ADJ , avoir PPAS ."
38,Zola/1899_1_Fecondite._clean.txt,"De les balcons , on apercevait , au-delà de la Seine , sur le coteau , les maisons hautes de Passy , parmi de les verdures , tandis que , sur la droite , se dressaient les deux campaniles de le palais de le Trocadéro .","de le NC , on VIMP , ADV de le NP , sur le NC , le NC ADJ de NP , parmi un le NC , PHASE que , sur le NC , se VIMP le NUM NCs de le NCmod de le NP ."
39,Zola/1899_1_Fecondite._clean.txt,"À côté , on voyait encore , longeant la rue de la Fédération , un jardin et une petite maison , l' ancien logis modeste de Léon Beauchêne , à le temps héroïque , d' acharné travail où il fondait sa fortune .","à NC , on VCOG encore , PPRES le NCo de le NCmod , un NCo et un ADJ NC , le ADJ NC ADJ de NP NP , à le temps ADJ , de PPAS NCo où il VIMP DETPOSS NCo ."
40,Zola/1899_1_Fecondite._clean.txt,"Puis , les bâtiments , les hangars de l' usine , tout un amas de bâtisses grises , surmontées de deux immenses cheminées , occupaient le fond de le terrain et la partie en retour sur le boulevard de Grenelle , qu' un grand mur sans fenêtres fermait .","puis , le NC , le NCs de le NCmod , tout un NC de NCmod ADJCOL , PPAS de NUM NC ADJ , VIMP le NCo de le NCmod et le NCs en NCmod sur le NCmod de NP , que un ADJ NC sans NCmod VIMP ."
