id,titre,phrase,motifs_phrase
1,de Koch/1838_Kock-Paul-de_Madeleine.txt,"MADELEINE , PAR CH. PAUL DE KOCK .","NP , NP NP NP NP NP ."
2,de Koch/1838_Kock-Paul-de_Madeleine.txt,"« Une fièvre brûlante Un jour me terrassait , Et de mon corps chassait Mon ame languissante .» Sedaine .- Richard .",""" un VSENT ADJ un NCT me VIMP , et de DETPOSS NCCOR VIMP DETPOSS NCo ADJ .» NP .- NP ."
3,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Bruxelles , SOCIÉTÉ BELGE DE LIBRAIRIE , ETC .","NP , NP NP NP NP , NP ."
4,de Koch/1838_Kock-Paul-de_Madeleine.txt,HAUMAN ET COMPAGNIE. 1838 .,NP NP NP NUM .
5,de Koch/1838_Kock-Paul-de_Madeleine.txt,TOME PREMIER .,NP NP .
6,de Koch/1838_Kock-Paul-de_Madeleine.txt,CHAPITRE PREMIER .,NP NP .
7,de Koch/1838_Kock-Paul-de_Madeleine.txt,La Fête de Saint-Cloud .,le NP de NP .
8,de Koch/1838_Kock-Paul-de_Madeleine.txt,"C' était la fête à Saint-Cloud : je ne vous la décrirai pas , parce que probablement vous y avez été , et que vous savez ce que c' est tout aussi bien que moi ; si cependant , soit que vous n' habitiez pas Paris , ou soit que vos affaires vous y ayant toujours retenu , vous ne connaissiez pas cette bacchanale , qui , tous les ans , se renouvelle , pendant trois dimanches de suite , dans un de les plus jolis parcs de les environs de Paris , alors ... je ne vous en ferai pas non plus le tableau ; car on l' a déjà fait fort souvent , et je n' aime pas à répéter ce que les autres ont dit .","ce être le NC à NP : je ne vous le VF pas , parce que ADVINT vous y avoir être , et que vous VCOG ce que ce être tout aussi bien que soi ; si cependant , ADV que vous ne IMP pas NP , ou ADV que DETPOSS NCs vous y avoir ADVTEMPS PPAS , vous ne PRES pas ce NCo , qui , tout le NCT , se PRES , PHASE NUM ADVT de NCmod , dans un de le plus ADJ NCmod de le NCmod de NP , alors ... je ne vous en faire pas non plus le NC ; car on le avoir déjà faire fort ADVTEMPS , et je ne VSENT pas à INF ce que le autre avoir VDIC ."
9,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Enfin c' était le dernier dimanche , ce qu' on appelle , je crois , le beau dimanche , qui termine les fêtes : le temps était superbe ; il y avait une foule immense dans le parc , on pouvait à peine passer à la grille , tant était grande la cohue ; puis les marchands de melons avaient étalé là de les maraîchers de toutes les grosseurs ; puis les conducteurs de coucous vous poursuivaient pour vous offrir de les places ; et , quand on était parvenu à échapper à tout cela et à entrer dans le parc , alors on se trouvait serré entre de les promeneurs , dont les uns vous poussaient à droite , d' autres à gauche ; on était forcé de s' arrêter devant une boutique de pain d' épice , ou emporté vers la pièce d' eau ; on avalait de la poussière , et on était assourdi par le bruit de les mirlitons et de les claquettes : c' était bien gentil .","PHASE ce être le ADJ ADVT , ce que on VSUBP , je VCOG , le ADJ ADVT , qui VASP le NCo : le temps être ADJ ; il y avoir un NCo ADJ dans le NC , on pouvoir à NCSENT INF à le NC , tant être ADJ le NC ; puis le NCs de NCmod avoir PPAS ADVLIEU de le NC de tout le NCmod ; puis le NCs de NCmod vous VIMP pour vous INF de le NC ; et , quand on être PPAS à INF à tout cela et à INF dans le NC , alors on se VIMP serré NC un le NC , dont le un vous VIMP à NC , un autre à NCmod ; on être PPAS de se INF ADVLIEU un NC de NCmod de NCmod , ou PPAS vers le NC de NCmod ; on VIMP de le NC , et on être PPAS par le NC de le NCmod et de le NC : ce être bien ADJ ."
10,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Pour s' amuser à une fête champêtre , il faut trois choses : d' abord être d' une bonne santé .","pour se VSENT à un NC NCmod , il PRES NUM chose : de NC être de un ADJ NC ."
11,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Vous me direz , peut-être que la santé est indispensable à tous les amusements ; je vous répondrai qu' il en est de doux , de tranquilles , qui ne fatiguent pas , tandis qu' à une fête publique , dans une cohue , il est bien difficile de ne pas être souvent sur ses jambes .","vous me PRES , peut-être que le NCs être ADJ à tout le NCSENT ; je vous VF que il en être de NC , de NC , qui ne VSENT pas , PHASE que à un NC ADJ , dans un NCmod , il être bien ADJ de ne pas être ADVTEMPS sur DETPOSS NCCOR ."
12,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Il faut donc d' abord une bonne santé , ensuite de l' argent plein ses poches , et enfin ne pas être amoureux .","il PRES donc de NC un ADJ NCo , PHASE de le NC ADJ DETPOSS NC , et PHASE ne pas être ADJ ."
13,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Cette dernière condition vous semblera encore singulière ; mais , en y réfléchissant bien , je crois que vous serez de mon avis .","ce ADJ NCs vous sembler encore ADJ ; mais , en y PPRES bien , je VCOG que vous être de DETPOSS NC ."
14,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Quand on est amoureux et que l' on tient sa maîtresse sous son bras , on n' aime pas à être dans la foule .","quand on être ADJ et que l' on PRES DETPOSS NCo sous DETPOSS NCCOR , on ne VSENT pas à être dans le NC ."
15,de Koch/1838_Kock-Paul-de_Madeleine.txt,Comment se regarder à son aise ?,comment se VCOG à DETPOSS NC ?
16,de Koch/1838_Kock-Paul-de_Madeleine.txt,"comment faire passer son ame dans ses yeux , lorsque de les figures inconnues vous entourent , vous examinent bêtement , indiscrètement , comme si vos affaires les regardaient ?","comment faire INF DETPOSS NCo dans DETPOSS NCCOR , lorsque de le NCCOR ADJ vous PRES , vous PRES ADVMAN , ADVMAN , comme si DETPOSS NCs le VCOG ?"
17,de Koch/1838_Kock-Paul-de_Madeleine.txt,Les amoureux préfèrent les promenades solitaires ; ils ont raison .,le NCs PRES le NCo ADJ ; il avoir NCo .
18,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Si un amoureux est là sans celle qu' il aime , ce bruit , ce monde , ces grisettes de Paris , ces grosses filles de village n' ont aucun charme pour lui ; son esprit , son cœur sont ailleurs .","si un NCs être ADVLIEU sans celui que il VSENT , ce NCs , ce NC , ce NC de NP , ce ADJ NC de NCmod ne avoir aucun NCo pour lui ; DETPOSS NC , DETPOSS NCs être ADVLIEU ."
19,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Les badauds l' impatientent , les paillasses ne le font pas rire , la grosse gaieté qu' il entend l' assourdit , l' assomme , et son plus grand désir est de s' éloigner de cette foule qui l' obsède et l' empêche de penser à son aise .","le NCs le VSENT , le NCs ne le faire pas ADV , le ADJ NCSENT que il VCOG le NC , le NC , et DETPOSS plus ADJ NCSENT être de se INF de ce NC qui le VSENT et le PRES de VCOG à DETPOSS NC ."
20,de Koch/1838_Kock-Paul-de_Madeleine.txt,"J' ajouterai encore , que , sans être amoureux , on peut s' ennuyer beaucoup à les fêtes de Saint-Cloud et autres ; tout le monde n' aime pas le bruit , les cris , les réunions populaires ; cette gaieté qui ressemble à de les querelles , cette musique qui vous écorche les oreilles , et ces dîners où l' on paie très-cher pour être fort mal .","je VF encore , que , sans être ADJ , on pouvoir se VSENT beaucoup à le NC de NP et autre ; tout le NCs ne VSENT pas le NCo , le NC , le NC ADJ ; ce NCSENT qui PRES à de le NC , ce NC qui vous PRES le NCCOR , et ce NC où l' on PRES INF pour être fort mal ."
21,de Koch/1838_Kock-Paul-de_Madeleine.txt,Souvent aussi tout cela nous amuse à vingt ans et nous ennuie à trente .,ADVTEMPS aussi tout cela nous VSENT à NUM NCT et nous VSENT à NUM .
22,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Pourquoi serions -nous constants dans nos goûts , puisque nous ne le sommes pas dans nos affections ?","pourquoi NC nous PPRES dans DETPOSS NC , puisque nous ne le être pas dans DETPOSS NCSENT ?"
23,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Mais il s' agit de deux personnages qui viennent de descendre de l' accéléré , et se disposent à s' amuser à Saint-Cloud , parce qu' ils ont ce que je trouve nécessaire pour cela : de la santé , de l' argent , et point de passion dans le cœur .","mais il se PRES de NUM NC qui venir de INF de le NC , et se PRES à se VSENT à NP , parce que il avoir ce que je PRES ADJ pour cela : de le NC , de le NC , et NC de NCSENT dans le NCmod ."
24,de Koch/1838_Kock-Paul-de_Madeleine.txt,"Ce sont deux hommes bien mis , sans recherche , sans fatuité : l' un qui peut avoir vingt-six à vingt-sept ans , est d' une taille moyenne , brun , pâle , a de beaux yeux , une figure distinguée et beaucoup de charme dans la physionomie ; l' autre , qui a six ou sept ans de plus , est moins grand , plus gros , a de les traits forts , un teint coloré , de les yeux vifs et gais , et toute l' encolure d' un bon vivant .","ce être NUM NCs bien mettre , sans NC , sans NC : le un qui pouvoir avoir NUM à NUM NCT , être de un NCs ADJ , ADJCOL , ADJ , avoir un ADJ NCCOR , un NCCOR ADJ et beaucoup de NC dans le NCmod ; le autre , qui avoir NUM ou NUM NCT de plus , être moins ADJ , plus ADJ , PRES de le NC fort , un NC ADJ , de le NCCOR ADJ et ADJ , et tout le NC de un NCmod ADJ ."
