id,titre,phrase,motifs_phrase
1,1887_Guiches_L'Ennemi_N.txt,"Gustave Guiches L' Ennemi Mœurs de province A MONSIEUR ADRIEN HÉBRARD DIRECTEUR DE LE « TEMPS » En reconnaissance de la sympathie avec laquelle il a bien voulu les accueillir , Je dédie ces pages .","NP NP le NP NC de NCmod à monsieur NP NP NP NP NP "" temps "" en NC de le NCSENT avec lequel il avoir bien vouloir le INF , je PRES ce NCo ."
2,1887_Guiches_L'Ennemi_N.txt,GUSTAVE GUICHES .,NP NP .
3,1887_Guiches_L'Ennemi_N.txt,"G.G. PREMIÈRE PARTIE I C' était la Saint-Étienne , la « vote » de Marcayrac .","ADV NP NP NUM ce être le NP , le "" NC "" de NP ."
4,1887_Guiches_L'Ennemi_N.txt,"Après les salves éclatées à le point de le jour , la fanfare gouvernée par Beldiot s' était mise en marche et , depuis six heures de le matin , elle ébranlait les rues , infatigable , soutenant ses cuivres à un diapason fracassant que , ni la chaleur , ni la cadence harassante de le pas de cérémonie , n' avaient pu faire , un seul instant , mollir .","PHASE le NC PPAS à le NC de le NCT , le NCs PPAS par NP se être mettre en NC et , depuis NUM NCT de le NCT , il VIMP le NCo , ADJ , PPRES DETPOSS NCo à un NC PPRES que , ni le NC , ni le NC ADJ de le pas de NCmod , ne avoir pouvoir faire , un ADJ NCs , NC ."
5,1887_Guiches_L'Ennemi_N.txt,"Elle était partie de l' hôtel Capoulun , sur trois rangs de quatre musiciens , précédée par les commissaires de la fête , de zélés jeunes gens ceints d' une écharpe rouge et dont la veste s' étoilait d' une cocarde tricolore d' où ruisselait une chevelure de rubans .","il être NC de le NCmod NP , sur NUM NCmod de NUM NCmod , PPAS par le NC de le NCmod , de PPAS ADJ NCo ADJ de un NCmod ADJCOL et dont le NCs se VIMP de un NC ADJ de où VIMP un NCs de NCmod ."
6,1887_Guiches_L'Ennemi_N.txt,"Derrière , la foule grossissait .","ADVLIEU , le NCs VIMP ."
7,1887_Guiches_L'Ennemi_N.txt,"De les attroupements fusionnaient et , après de brèves délibérations , suivaient le cortège , charriés par un irrésistible courant .","de le NCs VIMP et , PHASE un ADJ NC , VIMP le NCo , PPAS par un ADJ NC ."
8,1887_Guiches_L'Ennemi_N.txt,"Sur les côtés , de les gamins gambadaient , faisaient la roue , imitaient le trombone et braillaient à tue-tête de les couplets patriotiques en brandissant de les drapelets de papier qui claquaient sur de les hampes de roseaux .","sur le NC , de le NCs VIMP , faire le NCo , VIMP le NCo et VIMP à NC de le NCmod ADJ en PPRES de le NC de NCmod qui VIMP sur un le NC de NCmod ."
9,1887_Guiches_L'Ennemi_N.txt,"De les cultivateurs marchaient sans enthousiasme , exprimant , par la gravité de leurs regards , une adhésion complaisante à la joie publique , et de les bourgeois , qui stationnaient devant la gendarmerie , ôtèrent leurs chapeaux avec un courtois empressement .","de le NC VIMP sans NC , PPRES , par le NC de DETPOSS NCMAN , un NCo ADJ à le NCSENT ADJ , et de le NC , qui VIMP ADVLIEU le NC , VPS DETPOSS NCo avec un ADJ NC ."
10,1887_Guiches_L'Ennemi_N.txt,Les étrangers arrivaient .,le NCs VIMP .
