id,titre,phrase,motifs_phrase
1,Zola/1894_1_Lourdes._clean.txt,"Dans le train en marche , comme les pèlerins et les malades , entassés sur les dures banquettes de le wagon de troisième classe , achevaient l' Ave maris stella , qu' ils venaient d' entonner à le sortir de la gare d' Orléans , Marie , à demi soulevée de sa couche de misère , agitée d' une fièvre d' impatience , aperçut les fortifications .","dans le NC en NCmod , comme le NCmod et le NC , PPAS sur le ADJ NC de le NCmod de ADJ NCmod , VIMP le Ave maris stella , que il venir de INF à le INF de le NC de NP , NP , à ADJ NCmod de DETPOSS NCmod de NCmod , PPAS de un VSENT de NCSENT , VPS le NCo ."
2,Zola/1894_1_Lourdes._clean.txt,Ah !,INTJ !
3,Zola/1894_1_Lourdes._clean.txt,les fortifications !,le NC !
4,Zola/1894_1_Lourdes._clean.txt,"cria -t -elle d' un ton joyeux , malgré sa souffrance .","VDIC t il de un NC ADJ , malgré DETPOSS NCSENT ."
5,Zola/1894_1_Lourdes._clean.txt,"Nous voici hors de Paris , nous sommes partis enfin !","nous voici ADV de NP , nous être PPAS PHASE !"
6,Zola/1894_1_Lourdes._clean.txt,"Devant elle , son père , M. de Guersaint , sourit de sa joie ; tandis que l' abbé Pierre Froment , qui la regardait avec une tendresse fraternelle , s' oublia à dire tout haut , dans sa pitié inquiète : En voilà pour jusqu' à demain matin , nous ne serons à Lourdes qu' à trois heures quarante .","ADVLIEU il , DETPOSS NCs , monsieur de NP , PPAS de DETPOSS NCSENT ; PHASE que le NCs NP NP , qui le VCOG avec un NCSENT ADJ , se VCOG à VDIC tout NCo , dans DETPOSS VSENT ADJ : en voilà pour jusque à ADVT NCT , nous ne PRES à NP que à NUM NCT ADJ ."
7,Zola/1894_1_Lourdes._clean.txt,Plus de vingt-deux heures de voyage !,plus de NUM NCT de NCmod !
8,Zola/1894_1_Lourdes._clean.txt,"Il était cinq heures et demie , le soleil venait de se lever , radieux , dans la pureté d' une admirable matinée .","il être NUM NCT et NC , le NCs venir de se INF , ADJ , dans le NC de un ADJ NCmod ."
9,Zola/1894_1_Lourdes._clean.txt,"C' était un vendredi , le 19 août .","ce être un ADVT , le NUM MOIS ."
10,Zola/1894_1_Lourdes._clean.txt,"Mais déjà , à l' horizon , de petits nuages lourds annonçaient une terrible journée de chaleur orageuse .","mais déjà , à le NC , un ADJ NCs ADJ VIMP un ADJ NCT de NCmod ADJ ."
11,Zola/1894_1_Lourdes._clean.txt,"Et les rayons obliques enfilaient les compartiments de le wagon , qu' ils emplissaient d' une poussière d' or dansante .","et le NCs ADJ VIMP le NCo de le NCmod , que il VIMP de un NC de NCmod ADJ ."
12,Zola/1894_1_Lourdes._clean.txt,"Marie , retombée à son angoisse , murmura : Oui , vingt-deux heures .","NP , PPAS à DETPOSS NCSENT , VF : oui , NUM NCT ."
13,Zola/1894_1_Lourdes._clean.txt,Mon Dieu !,NP NP !
14,Zola/1894_1_Lourdes._clean.txt,que c' est long encore !,que ce être ADJ encore !
15,Zola/1894_1_Lourdes._clean.txt,"Et son père l' aida à se recoucher dans l' étroite caisse , la sorte de gouttière , où elle vivait depuis sept ans .","et DETPOSS NCs le VPS à se INF dans le NC ADJ , le sorte de NCmod , où il VIMP depuis NUM NCT ."
16,Zola/1894_1_Lourdes._clean.txt,"On avait consenti à prendre exceptionnellement , à les bagages , les deux paires de roues qui se démontaient et s' y adaptaient , pour la promener .","on avoir PPAS à INF ADV , à le NC , le NUM NC de NCmod qui se VIMP et se y VIMP , pour le INF ."
17,Zola/1894_1_Lourdes._clean.txt,"Serrée entre les planches de ce cercueil roulant , elle occupait trois places de la banquette ; et elle demeura un instant les paupières closes , la face amaigrie et terreuse , restée d' une délicate enfance pour ses vingt-trois ans , charmante quand même à le milieu de ses merveilleux cheveux blonds , de les cheveux de reine que la maladie respectait .","PPAS entre le NC de ce NCmod ADJ , il VIMP NUM NCo de le NCmod ; et il VPS NUM PPRES le NCCOR ADJ , le NC ADJ et ADJ , PPAS de un ADJ NC pour DETPOSS NUM NCT , ADJ quand même à le milieu de DETPOSS ADJ NCCOR ADJCOL , de le NCCOR de NCmod que le NCs VIMP ."
18,Zola/1894_1_Lourdes._clean.txt,"Vêtue très simplement d' une robe de petite laine noire , elle avait , pendue à le cou , la carte qui l' hospitalisait , portant son nom et son numéro d' ordre .","PRES très ADVMAN de un NC de ADJ NCmod ADJ , il avoir , PPAS à le NCCOR , le NC qui le VIMP , PPRES DETPOSS NCo et DETPOSS NC de NCmod ."
19,Zola/1894_1_Lourdes._clean.txt,"Elle-même avait exigé cette humilité , ne voulant d' ailleurs rien coûter à les siens , peu à peu tombés à une grande gêne .","elle-même avoir PPAS ce NCSENT , ne vouloir de ADVLIEU rien INF à le NC , peu à peu PPAS à un ADJ NCSENT ."
20,Zola/1894_1_Lourdes._clean.txt,"Et c' était ainsi qu' elle se trouvait là , en troisième classe , dans le train blanc , le train de les grands malades , le plus douloureux de les quatorze trains qui se rendaient à Lourdes , ce jour -là , celui où s' entassaient , outre les cinq cents pèlerins valides , près de trois cents misérables , épuisés de faiblesse , tordus de souffrance , charriés à toute vapeur d' un bout de la France à l' autre .","et ce être ainsi que il se VIMP ADVLIEU , en ADJ NC , dans le NCmod ADJCOL , le NC de le ADJ NCmod , le plus ADJ de le NUM NCmod qui se VIMP à NP , ce NCT ADVLIEU , celui où se VIMP , outre le NUM ADJ NC ADJ , ADVLIEU de NUM NC ADJ , PPAS de NC , PPAS de NCSENT , PPAS à tout NC de un NCmod de le NP à le autre ."
21,Zola/1894_1_Lourdes._clean.txt,"Mécontent de l' avoir attristée , Pierre continuait à la regarder , de son air de grand frère attendri .","ADJ de le avoir VSENT , NP VIMP à le VCOG , de DETPOSS NCMAN de ADJ NCmod VSENT ."
22,Zola/1894_1_Lourdes._clean.txt,"Il venait d' avoir trente ans , pâle , mince , avec un large front .","il venir de avoir NUM NCT , ADJ , NC , avec un ADJ NCCOR ."
23,Zola/1894_1_Lourdes._clean.txt,"Après s' être occupé de les moindres détails de le voyage , il avait tenu à l' accompagner , il s' était fait recevoir membre auxiliaire de l' Hospitalité de Notre-Dame-du-Salut ; et il portait , sur sa soutane , la croix rouge , lisérée d' orange , de les brancardiers .","PHASE se être PPAS de le ADJ NC de le NCmod , il avoir PPAS à le INF , il se être faire INF NC ADJ de le NCmod de NP ; et il VIMP , sur DETPOSS NC , le NC ADJCOL , PPAS de ADJCOL , de le NC ."
24,Zola/1894_1_Lourdes._clean.txt,"M. de Guersaint , lui , n' avait , épinglée à son veston de drap gris , que la petite croix écarlate de le pèlerinage .","monsieur de NP , lui , ne avoir , PPAS à DETPOSS NC de NCmod ADJCOL , que le ADJ NC ADJ de le NCmod ."
25,Zola/1894_1_Lourdes._clean.txt,"Il paraissait ravi de voyager , les yeux au-dehors , ne pouvant tenir en place sa tête d' oiseau aimable et distrait , d' aspect très jeune , bien qu' il eût dépassé la cinquantaine .","il paraître ADJ de INF , le NCCOR ADV , ne pouvoir INF en NC DETPOSS NCCOR de NCmod ADJ et ADJ , de NC très ADJ , bien que il avoir PPAS le NCo ."
26,Zola/1894_1_Lourdes._clean.txt,"Mais , dans le compartiment voisin , malgré la trépidation violente qui arrachait de les soupirs à Marie , sœur Hyacinthe s' était levée .","mais , dans le NC ADJ , malgré le NC ADJ qui VIMP de le NC à NP , NC NP se être PPAS ."
27,Zola/1894_1_Lourdes._clean.txt,Elle remarqua que la jeune fille était en plein soleil .,il VPS que le ADJ NCs être en ADJ NC .
28,Zola/1894_1_Lourdes._clean.txt,"Monsieur l' abbé , tirez donc le store ... Voyons , voyons !","monsieur le NC , IMP donc le NCo ... VCOG , VCOG !"
29,Zola/1894_1_Lourdes._clean.txt,il faut nous installer et faire notre petit ménage .,il PRES nous INF et faire DETPOSS ADJ NCo .
30,Zola/1894_1_Lourdes._clean.txt,"Dans sa robe noire de sœur de l' Assomption , égayée par la coiffe blanche , la guimpe blanche , le grand tablier blanc , sœur Hyacinthe souriait , d' une activité vaillante .","dans DETPOSS NC ADJ de NCmod de le NCmod , VSENT par le NC ADJCOL , le NCs ADJCOL , le ADJ NC ADJCOL , NC NP VIMP , de un NC ADJ ."
31,Zola/1894_1_Lourdes._clean.txt,"Sa jeunesse éclatait sur sa bouche petite et fraîche , à le fond de ses beaux yeux bleus , toujours tendres .","DETPOSS NCs VIMP sur DETPOSS NCCOR ADJ et ADJ , à le NC de DETPOSS ADJ NCCOR ADJCOL , ADVTEMPS ADJ ."
32,Zola/1894_1_Lourdes._clean.txt,"Elle n' était peut-être pas jolie , mais adorable , fine , élancée , avec une poitrine de garçon sous la bavette de le tablier , de bon garçon à le teint de neige , débordant de santé , de gaieté et d' innocence .","il ne être peut-être pas ADJ , mais ADJ , ADJ , PPAS , avec un NC de NCmod sous le NCmod de le NCmod , de ADJ NC à le NCmod de NCmod , PPRES de NC , de NCSENT et de NC ."
33,Zola/1894_1_Lourdes._clean.txt,"Mais il nous dévore déjà , ce soleil !","mais il nous VSENT déjà , ce NCo !"
34,Zola/1894_1_Lourdes._clean.txt,"Je vous en prie , madame , tirez aussi votre store .","je vous en NCmod , madame , IMP aussi DETPOSS NCo ."
