id,titre,phrase,motifs_phrase
1,1882_Ohnet_Le-Maitre-de-forges_A.txt,"I Par une claire journée de le mois d' octobre 1880 , un jeune homme , vêtu d' un élégant costume de chasse , était assis à la lisière d' un de ces beaux bois de chênes qui couvrent de leur ombre fraîche les premières pentes de le Jura .","NUM NP un ADJ NCT de le NCT de MOIS NUM , un ADJ NCs , PPAS de un ADJ NC de NCmod , être PPAS à le NC de un de ce ADJ NCmod de NCmod qui PRES de lui NC PRES le ADJ NCo de le NP ."
2,1882_Ohnet_Le-Maitre-de-forges_A.txt,"Un grand chien épagneul marron , couché dans la bruyère à quelques pas de son maître , fixait sur lui ses yeux attentifs , semblant demander si on n' allait pas bientôt repartir .","un ADJ NCs ADJ ADJCOL , PPAS dans le NC à quelque pas de DETPOSS NCmod , VIMP sur lui DETPOSS NCCOR ADJ , sembler INF si on ne aller pas bientôt INF ."
3,1882_Ohnet_Le-Maitre-de-forges_A.txt,Le chasseur ne paraissait pas disposé à reprendre de sitôt sa course .,le NCs ne paraître pas PPAS à INF de ADV DETPOSS NC .
4,1882_Ohnet_Le-Maitre-de-forges_A.txt,"Il avait appuyé son fusil à un tronc d' arbre , jeté sur le revers de le fossé son carnier vide , et , tendant le dos à le soleil , le menton appuyé dans sa main , il laissait errer ses yeux sur l' admirable panorama qui se déroulait devant lui .","il avoir PPAS DETPOSS NCo à un NC de NCmod , PPAS sur le NC de le PPAS DETPOSS NCo ADJ , et , PPRES le NCCOR à le NC , le NCCOR PPAS dans DETPOSS NCCOR , il laisser INF DETPOSS NCCOR sur le ADJ NC qui se VIMP ADVLIEU lui ."
5,1882_Ohnet_Le-Maitre-de-forges_A.txt,"De l' autre côté de la route , à le bord de laquelle il était arrêté , le long d' une futaie , s' étendait une taille de deux ans , dont les cépées clair-semées poussaient comme de les îlots de verdure à le milieu de les fougères et de les grandes herbes jaunes .","de le autre NC de le NCmod , à le NC de lequel il être PPAS , le NC de un NCmod , se VIMP un NCs de NUM NCT , dont le NCs PPAS VIMP comme de le NC de NCmod à le milieu de le NCmod et de le ADJ NC ADJCOL ."
6,1882_Ohnet_Le-Maitre-de-forges_A.txt,"Le terrain boisé , s' abaissant en pente douce vers la vallée , laissait apercevoir dans les prairies le bourg de Pont-Avesnes , dressant , au-dessus de les toits rouges de les maisons , le clocher d' ardoises , en forme d' éteignoir , de sa vieille église .","le NCs ADJ , se PPRES en NC ADJ vers le NC , laisser INF dans le NC le NCmod de NP , PPRES , ADVLIEU de le NC ADJCOL de le NCmod , le NC de NCmod , en NC de NCmod , de DETPOSS ADJ NC ."
7,1882_Ohnet_Le-Maitre-de-forges_A.txt,"À droite , le château , entouré de larges douves desséchées et plantées d' arbres fruitiers .","à NCmod , le NC , PPAS de NC ADJ PPAS et PPAS de NC ADJ ."
8,1882_Ohnet_Le-Maitre-de-forges_A.txt,"L' Avesnes , un mince filet d' eau , que les habitants appellent ambitieusement «la rivière » , étincelait comme un ruban d' argent entre les saules rabougris à les feuillages tremblants , qui se penchaient sur ses rives .","le NP , un ADJ NC de NCmod , que le NCs PRES ADVMAN «la NCo "" , VIMP comme un NC de NCmod entre le NCmod ADJ à le NCmod ADJ , qui se VIMP sur DETPOSS NC ."
9,1882_Ohnet_Le-Maitre-de-forges_A.txt,"Plus loin l' usine , par les cheminées de ses hauts fourneaux , crachant une fumée rouge balayée par le vent , étendait ses noires murailles à le bas de la colline , dont les assises de rochers étaient percées de larges trous servant à l' extraction de le minerai .","plus ADVLIEU le NCs , par le NCmod de DETPOSS ADJ NCmod , PPRES un NCo ADJCOL PPAS par le NC , VIMP DETPOSS ADJ NCo à le NC de le NCmod , dont le NCspas de NCmod être PPAS de ADJ NC PPRES à le NC de le NCmod ."
10,1882_Ohnet_Le-Maitre-de-forges_A.txt,"Au-dessus de ces excavations verdoyaient les vignes , qui produisent un petit vin blanc ayant un goût de pierre à fusil et qu' on vend couramment sous le nom de vin de Moselle .","ADVLIEU de ce NC VIMP le NCo , qui PRES un ADJ NCo ADJCOL avoir un NCo de NCmod à NCmod et que on PRES ADV sous le NC de NCmod de NP ."
