id,titre,phrase,motifs_phrase
1,Zola/1891_18_L_argent._clean.txt,"Onze heures venaient de sonner à la Bourse , lorsque Saccard entra chez Champeaux , dans la salle blanc et or , dont les deux hautes fenêtres donnent sur la place .","NUM NCT venir de INF à le NP , lorsque NP VPS chez NP , dans le NC ADJCOL et NC , dont le NUM ADJ NCs PRES sur le NC ."
2,Zola/1891_18_L_argent._clean.txt,"D' un coup d' œil , il parcourut les rangs de petites tables , où les convives affairés se serraient coude à coude ; et il parut surpris de ne pas voir le visage qu' il cherchait .","de un NC de NCmod , il VPS le NCo de ADJ NCmod , où le NCs PPAS se VIMP NCCOR à NCCOR ; et il paraître NCo de ne pas VCOG le NCCOR que il VIMP ."
3,Zola/1891_18_L_argent._clean.txt,"Comme , dans la bousculade de le service , un garçon passait , chargé de plats : Dites donc , monsieur Huret n' est pas venu ?","comme , dans le NC de le NCmod , un NCs VIMP , PPAS de NC : NP donc , monsieur NP ne être pas venir ?"
4,Zola/1891_18_L_argent._clean.txt,"Non , monsieur , pas encore .","non , monsieur , pas encore ."
5,Zola/1891_18_L_argent._clean.txt,"Alors , Saccard se décida , s' assit à une table que quittait un client , dans l' embrasure d' une de les fenêtres .","alors , NP se VPS , se VPS à un NC que VIMP un NCs , dans le NCmod de un de le NCmod ."
6,Zola/1891_18_L_argent._clean.txt,"Il se croyait en retard; et , tandis qu' on changeait la serviette , ses regards se portèrent au-dehors , épiant les passants de le trottoir .","il se VCOG en retard; et , PHASE que on VIMP le NCo , DETPOSS NCMAN se VPS ADV , PPRES le NCo de le NCmod ."
7,Zola/1891_18_L_argent._clean.txt,"Même , lorsque le couvert fut rétabli , il ne commanda pas tout de suite , il demeura un moment les yeux sur la place , toute gaie de cette claire journée de les premiers jours de mai .","même , lorsque le NCspas être PPAS , il ne VPS pas tout de NC , il VPS un NCo le NCCOR sur le NCmod , tout NC de ce ADJ NCT de le ADJ NCT de MOIS ."
8,Zola/1891_18_L_argent._clean.txt,"À cette heure où le monde déjeunait , elle était presque vide : sous les marronniers , d' une verdure tendre et neuve , les bancs restaient inoccupés ; le long de la grille , à la station de voitures , la file de les fiacres s' allongeait , d' un bout à l' autre ; et l' omnibus de la Bastille s' arrêtait à le bureau , à l' angle de le jardin , sans laisser ni prendre de voyageurs .","à ce NCT où le NCs VIMP , il être presque ADJ : sous le NC , de un NC ADJ et ADJ , le NCs VIMP ADJ ; le NC de le NCmod , à le NC de NCmod , le NC de le NCmod se VIMP , de un NC à le autre ; et le NC de le NP se VIMP à le NC , à le NCmod de le NCmod , sans laisser ni INF de NC ."
9,Zola/1891_18_L_argent._clean.txt,"Le soleil tombait d' aplomb , le monument en était baigné , avec sa colonnade , ses deux statues , son vaste perron , en haut de lequel il n' y avait encore que l' armée de les chaises , en bon ordre .","le NCs VIMP de NC , le NCspas en être PPAS , avec DETPOSS NC , DETPOSS NUM NC , DETPOSS ADJ NCo , en NC de lequel il ne y avoir encore que le NC de le NCmod , en ADJ NCmod ."
10,Zola/1891_18_L_argent._clean.txt,"Mais Saccard , s' étant tourné , reconnut Mazaud , l' agent de change , à la table voisine de la sienne .","mais NP , se être PPAS , VPS NP , le NC de NCmod , à le NC ADJ de le sien ."
