id,titre,phrase,motifs_phrase
1,1881_Hennique_Deux-nouvelles_N.txt,"Léon Hennique Deux nouvelles LES FUNÉRAILLES DE FRANCINE CLOAREC Quand les croque-morts se furent arrêtés devant le numéro onze de l' impasse de Guelma , ils jetèrent sur la haute maison sale un regard qui la parcourut de la base à le sommet .","NP NP NUM NC le NP NP NP NP quand le NCs se être PPAS ADVLIEU le NC NUM de le NCmod de NP , il VPS sur le ADJ NC ADJ un NCMAN qui le VPS de le NC à le NCmod ."
2,1881_Hennique_Deux-nouvelles_N.txt,A quel étage pouvait bien être la morte ?,à quel NC pouvoir bien être le NC ?
3,1881_Hennique_Deux-nouvelles_N.txt,"... Aucun volet fermé ne guidant leur investigation , après un échange de paroles brèves durant lesquelles on les vit former un groupe très-obscur sur la neige , ils pénétrèrent à la file dans le couloir béant par où leur besogne devait s' accomplir .","... aucun NC PPAS ne PPRES lui NCo , PHASE un NC de NCmod ADJ durant lequel on le PRES INF un NCo ADJ sur le NCmod , il VPS à le NC dans le NC PPRES par où lui NCs devoir se INF ."
4,1881_Hennique_Deux-nouvelles_N.txt,"Derrière eux , cahin-caha , sous la conduite d' un vigoureux gaillard à épais bicorne , le corbillard de les pauvres arriva à le petit trot d' une vieille jument pisseuse .","ADVLIEU eux , cahin-caha , sous le NC de un ADJ NCmod à NCmod ADJ , le NC de le NCmod VPS à le ADJ NC de un ADJ NCmod ADJ ."
5,1881_Hennique_Deux-nouvelles_N.txt,"La loge de le concierge était close , mais l' escalier , plein de tapage , retentissait sous les coups d' un balai agile , dans le silence de la matinée .","le NCs de le NCmod être ADJ , mais le NC , ADJ de NC , VIMP sous le NC de un NCmod ADJ , dans le NCmod de le NCmod ."
6,1881_Hennique_Deux-nouvelles_N.txt,— Hé !,— NP !
7,1881_Hennique_Deux-nouvelles_N.txt,l' portier !,le NC !
8,1881_Hennique_Deux-nouvelles_N.txt,"on d' mande l' portier , cria l' un de les croque-morts , tandis que ses camarades tapaient leurs gros souliers neigeux sur le carrelage de le couloir .","on de NCmod le NC , VDIC le un de le NCmod , PHASE que DETPOSS NCs VIMP DETPOSS ADJ NCo ADJ sur le NC de le NCmod ."
9,1881_Hennique_Deux-nouvelles_N.txt,— Voilà !,— voilà !
10,1881_Hennique_Deux-nouvelles_N.txt,voilà !,voilà !
11,1881_Hennique_Deux-nouvelles_N.txt,Qu' est -ce qu' on me veut ?,que être ce que on me vouloir ?
12,1881_Hennique_Deux-nouvelles_N.txt,"répondit une voix fraîche , une voix de jeune fille .","VDIC un NCMAN ADJ , un NCMAN de ADJ NCmod ."
13,1881_Hennique_Deux-nouvelles_N.txt,— C' est nous .,— ce être nous .
14,1881_Hennique_Deux-nouvelles_N.txt,"— Qui , vous ?","— qui , vous ?"
15,1881_Hennique_Deux-nouvelles_N.txt,— Les pompes funèbres .,— le NC ADJ .
16,1881_Hennique_Deux-nouvelles_N.txt,On murmura : Seigneur Dieu !,on VF : NP NP !
17,1881_Hennique_Deux-nouvelles_N.txt,... déjà ?,... déjà ?
18,1881_Hennique_Deux-nouvelles_N.txt,"... Puis , sur un ton clair , la même voix reprit !","... puis , sur un NC ADJ , le même NCMAN VPS !"
19,1881_Hennique_Deux-nouvelles_N.txt,"— Minute , je descends .","— NCT , je PRES ."
20,1881_Hennique_Deux-nouvelles_N.txt,Les quatre hommes attendirent .,le NUM NCs VPS .
21,1881_Hennique_Deux-nouvelles_N.txt,"Par la porte ouverte , le jour gris pénétrait jusqu' à eux , éclairait le dos de leurs talmas noirs , promenait de les lueurs sur le vernis éteint de leurs chapeaux .","par le NC PPAS , le NCT ADJCOL VIMP jusque à eux , VCOND le NCCOR de DETPOSS NCmod ADJ , VIMP de le NC sur le NCmod PPAS de DETPOSS NC ."
22,1881_Hennique_Deux-nouvelles_N.txt,L' escalier craquait sous un pas lourd qui se dépêchait .,le NCs VIMP sous un pas ADJ qui se VIMP .
23,1881_Hennique_Deux-nouvelles_N.txt,"À le bout d' un instant , une grosse femme de quarante ans , à figure bonasse , apparut et s' arrêta un peu effrayée sur les dernières marches de le rez-de-chaussée .","à le NC de un NCmod , un ADJ NCs de NUM NCT , à NCCOR ADJ , VPS et se VPS un peu VSENT sur le ADJ NC de le NCmod ."
24,1881_Hennique_Deux-nouvelles_N.txt,"C' était la concierge dont la robe vineuse , retroussée par devant , découvrait un jupon de tricot violet , de les bas malpropres serrés à la cheville par d' énormes chaussons lacés , dont un caraco de mince flanelle laissait grelotter furieusement la poitrine flasque .","ce être le NC dont le NCs ADJ , PPAS par ADVLIEU , VCOND un NCo de NCmod ADJCOL , de le NCmod ADJ PPAS à le NCCOR par un ADJ NC ADJ , dont un NCs de NCmod ADJ laisser INF ADVINT le NCo ADJ ."
25,1881_Hennique_Deux-nouvelles_N.txt,"Le premier moment de stupeur passé , la bonne femme se rasséréna .","le ADJ NC de NCSENT PPAS , le ADJ NCs se VSENT ."
26,1881_Hennique_Deux-nouvelles_N.txt,"— Tiens , fit -elle , sur un timbre très-doux , si harmonieux qu' il semblait ne point appartenir à un pareil tas de graisse , vous venez déjà pour la petite ?","— NP , faire il , sur un NC ADJ , si ADV que il sembler ne ADV INF à un NC ADJ de NCmod , vous venir déjà pour le ADJ ?"
27,1881_Hennique_Deux-nouvelles_N.txt,"— Oui , pour Francine ... Francine Clo ... je ne sais plus comment ... — Arec , Francine Cloarec , affirma un croque-mort à tête sanguine .","— oui , pour NP ... NP NP ... je ne VCOG plus comment ... — NP , NP NP , VDIC un NCo à NCCOR ADJ ."
28,1881_Hennique_Deux-nouvelles_N.txt,"— Oui , c' est bien ce nom -là : Francine Cloarec ... une bretonne ... Attendez que je prenne sa clef , reprit la concierge .","— oui , ce être bien ce NC ADVLIEU : NP NP ... un NC ... IMP que je VSUBP DETPOSS NCo , VPS le NCo ."
29,1881_Hennique_Deux-nouvelles_N.txt,"Elle passa entre les croque-morts , péniblement , et ouvrit la porte de la loge .","il VPS entre le NC , ADV , et VPS le NCo de le NCmod ."
30,1881_Hennique_Deux-nouvelles_N.txt,Une bouffée de chaleur malsaine s' en échappa .,un NCs de NCmod ADJ se en VPS .
31,1881_Hennique_Deux-nouvelles_N.txt,"— Mais entrez donc , ajouta -t -elle , vous vous chaufferez à le moins , à le lieu de rester là comme de les perdus — Bah !","— mais IMP donc , VPS t il , vous vous PRES à le moins , à le NC de INF ADVLIEU comme de le NC — NP !"
32,1881_Hennique_Deux-nouvelles_N.txt,"dit l' homme sanguin , pourquoi faire ?","VDIC le NCo ADJ , pourquoi faire ?"
33,1881_Hennique_Deux-nouvelles_N.txt,"Néanmoins , ils se faufilèrent tous les quatre autour d' un petit-poêle dressé sur une plaque de tôle , dans un coin .","ADV , il se VPS tout le NUM ADV de un NC PPAS sur un NC de NCmod , dans un NCmod ."
34,1881_Hennique_Deux-nouvelles_N.txt,Personne n' avait envie de parler .,personne ne avoir NCo de INF .
35,1881_Hennique_Deux-nouvelles_N.txt,"Seule , une casserole bouillait avec un cliquetis de couvercle , une susurration gênante , et de temps à autre bavait sur la fonte rougie .","NP , un NCs VIMP avec un NC de NCmod , un NC ADJ , et de temps à autre VIMP sur le NC ADJ ."
36,1881_Hennique_Deux-nouvelles_N.txt,"Brusquement , la concierge s' écria : — Je ne trouve plus la clef .","ADV , le NCs se VPS : — je ne PRES plus le NCo ."
37,1881_Hennique_Deux-nouvelles_N.txt,Les croque-morts ne répondirent pas .,le NCs ne VPS pas .
38,1881_Hennique_Deux-nouvelles_N.txt,"Le dos rond , les mains tendues , ils se chauffaient dans de les postures de travailleurs fatigués avant de se mettre à l' ouvrage .","le NCCOR ADJ , le NCCOR ADJ , il se VIMP dans de le NC de NCmod VSENT PHASE de se mettre à le NC ."
